name;frequency
Maria;112382
Marie;90799
Martine;40238
Nathalie;40013
Monique;38562
Anne;37160
Rita;34009
Nicole;32199
Christine;31447
Isabelle;30495
Anna;30362
Sarah;29540
Christiane;29475
Julie;27850
Laura;27599
Ann;25592
Patricia;25469
Jacqueline;25392
Carine;24919
Chantal;23631
Caroline;23413
Sophie;22926
Marleen;22859
Annie;22034
Charlotte;22032
Ingrid;21195
Véronique;21062
Linda;21033
Jeannine;20548
Nancy;20339
Nadine;20056
Françoise;20051
Emma;19308
Brigitte;19025
Catherine;18547
Godelieve;18544
Sandra;18421
Liliane;18350
Hilde;18178
Els;17534
Myriam;17357
Cindy;17331
Sofie;17303
Sabine;17047
Louise;16907
Valérie;16834
Dominique;16414
Fatima;16225
Katrien;15838
Stéphanie;15835
Sara;15350
Elisabeth;14482
Sylvie;14480
Céline;14443
Francine;14364
Elise;14208
Fabienne;14116
Annick;13844
Christel;13833
Eva;13813
Laurence;13680
Claudine;13454
Manon;13441
Alice;13301
Vanessa;13243
Wendy;13138
Camille;13096
Viviane;13070
Lisa;12870
Marina;12847
Nadia;12787
Denise;12720
Emilie;12423
Veerle;12267
Pascale;12205
Bernadette;12138
Inge;12073
Jeanne;12057
Jessica;11927
Aurélie;11905
Virginie;11888
Ellen;11872
Anita;11599
Anne-Marie;11584
Ilse;11538
Lucie;11438
Danielle;11406
Kelly;11353
Marianne;11174
Pauline;10884
Paula;10857
Sabrina;10630
Juliette;10617
Léa;10538
Rosa;10527
Kim;10277
Julia;10110
Elena;10013
Olivia;9969
An;9934
Clara;9883
Chloé;9862
Mireille;9801
Michèle;9785
Sonja;9750
Kathleen;9647
Yvette;9579
Greta;9510
Christelle;9508
Sonia;9380
Arlette;9329
Heidi;9187
Josiane;9186
Cécile;9178
Eline;9171
Elisa;9129
Anja;9113
Suzanne;9048
Nele;9018
Delphine;9007
Melissa;8765
Lotte;8728
Lina;8685
Hélène;8668
Florence;8662
Annelies;8632
Amélie;8612
Elke;8612
Magda;8563
Nina;8540
Alexandra;8536
Anaïs;8533
Mariette;8407
Agnes;8391
Hilda;8370
Claire;8367
Helena;8159
Lore;8156
Georgette;8135
Jolien;8121
Hanne;8100
Marijke;8008
Barbara;7974
Micheline;7973
Gerda;7959
Karin;7923
Jenny;7881
Aline;7723
Audrey;7723
Jennifer;7718
Diana;7685
Sandrine;7680
Simonne;7680
Yvonne;7670
Lena;7662
Nora;7647
Amber;7636
Béatrice;7590
Joëlle;7548
Justine;7543
Elodie;7436
Laetitia;7381
Renée;7241
Victoria;7214
Vera;7211
Karen;7207
Nelly;7105
Stephanie;7030
Diane;6895
Joanna;6873
Michelle;6853
Mélanie;6744
Lydia;6729
Geneviève;6723
Jana;6695
Lien;6673
Liesbeth;6645
Karine;6637
Luna;6592
Sofia;6536
Mia;6510
Mieke;6506
Jade;6504
Leen;6500
Stefanie;6497
Muriel;6445
Irène;6408
Zoé;6400
Colette;6396
Madeleine;6353
Fanny;6351
Lea;6334
Lara;6328
Lisette;6311
Petra;6267
Magdalena;6219
Lucienne;6196
Anny;6160
Astrid;6157
Ella;6137
Margaux;6117
Ana;5960
Kristel;5948
Marie-Christine;5947
Jeanine;5865
Lutgarde;5837
Amandine;5783
Mila;5782
Aurore;5760
Marine;5736
Joke;5723
Andrée;5717
Evelyne;5711
Margot;5698
Alicia;5683
Yasmine;5679
